ko_id,pathway_id,pathway_name
K16370,map00052,Galactose metabolism [PATH:ko00052]
K16370,map00680,Methane metabolism [PATH:ko00680]
K16370,map00051,Fructose and mannose metabolism [PATH:ko00051]
K16370,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K21071,map00030,Pentose phosphate pathway [PATH:ko00030]
K21071,map00052,Galactose metabolism [PATH:ko00052]
K21071,map00680,Methane metabolism [PATH:ko00680]
K21071,map00051,Fructose and mannose metabolism [PATH:ko00051]
K21071,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00918,map00680,Methane metabolism [PATH:ko00680]
K00918,map00030,Pentose phosphate pathway [PATH:ko00030]
K00918,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00895,map00030,Pentose phosphate pathway [PATH:ko00030]
K00895,map00051,Fructose and mannose metabolism [PATH:ko00051]
K00895,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K03841,map00030,Pentose phosphate pathway [PATH:ko00030]
K03841,map04152,AMPK signaling pathway [PATH:ko04152]
K03841,map04922,Glucagon signaling pathway [PATH:ko04922]
K03841,map04147,Exosome [BR:ko04147]
K03841,map00680,Methane metabolism [PATH:ko00680]
K03841,map00051,Fructose and mannose metabolism [PATH:ko00051]
K03841,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K03841,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K03841,map04910,Insulin signaling pathway [PATH:ko04910]
K02446,map00030,Pentose phosphate pathway [PATH:ko00030]
K02446,map00680,Methane metabolism [PATH:ko00680]
K02446,map00051,Fructose and mannose metabolism [PATH:ko00051]
K02446,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K02446,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K11532,map00030,Pentose phosphate pathway [PATH:ko00030]
K11532,map00680,Methane metabolism [PATH:ko00680]
K11532,map00051,Fructose and mannose metabolism [PATH:ko00051]
K11532,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K11532,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01086,map00030,Pentose phosphate pathway [PATH:ko00030]
K01086,map00680,Methane metabolism [PATH:ko00680]
K01086,map00051,Fructose and mannose metabolism [PATH:ko00051]
K01086,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K01086,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K04041,map00030,Pentose phosphate pathway [PATH:ko00030]
K04041,map00680,Methane metabolism [PATH:ko00680]
K04041,map00051,Fructose and mannose metabolism [PATH:ko00051]
K04041,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K04041,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01623,map00030,Pentose phosphate pathway [PATH:ko00030]
K01623,map04066,HIF-1 signaling pathway [PATH:ko04066]
K01623,map04131,Membrane trafficking [BR:ko04131]
K01623,map04147,Exosome [BR:ko04147]
K01623,map00680,Methane metabolism [PATH:ko00680]
K01623,map00051,Fructose and mannose metabolism [PATH:ko00051]
K01623,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K01623,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01623,map03036,Chromosome and associated proteins [BR:ko03036]
K11645,map00030,Pentose phosphate pathway [PATH:ko00030]
K11645,map00680,Methane metabolism [PATH:ko00680]
K11645,map00051,Fructose and mannose metabolism [PATH:ko00051]
K11645,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K11645,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01624,map00030,Pentose phosphate pathway [PATH:ko00030]
K01624,map00680,Methane metabolism [PATH:ko00680]
K01624,map00051,Fructose and mannose metabolism [PATH:ko00051]
K01624,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K01624,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01622,map00680,Methane metabolism [PATH:ko00680]
K01622,map00030,Pentose phosphate pathway [PATH:ko00030]
K01622,map00051,Fructose and mannose metabolism [PATH:ko00051]
K01622,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K16305,map00030,Pentose phosphate pathway [PATH:ko00030]
K16305,map00680,Methane metabolism [PATH:ko00680]
K16305,map00051,Fructose and mannose metabolism [PATH:ko00051]
K16305,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K16305,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"
K16306,map00030,Pentose phosphate pathway [PATH:ko00030]
K16306,map00680,Methane metabolism [PATH:ko00680]
K16306,map00051,Fructose and mannose metabolism [PATH:ko00051]
K16306,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K16306,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"
K01803,map00562,Inositol phosphate metabolism [PATH:ko00562]
K01803,map04147,Exosome [BR:ko04147]
K01803,map00051,Fructose and mannose metabolism [PATH:ko00051]
K01803,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K01803,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00134,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00134,map05132,Salmonella infection [PATH:ko05132]
K00134,map04131,Membrane trafficking [BR:ko04131]
K00134,map05010,Alzheimer disease [PATH:ko05010]
K00134,map04147,Exosome [BR:ko04147]
K00134,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K00134,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00134,map05130,Pathogenic Escherichia coli infection [PATH:ko05130]
K00134,map05415,Diabetic cardiomyopathy [PATH:ko05415]
K10705,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00150,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K00150,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00927,map04147,Exosome [BR:ko04147]
K00927,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K00927,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00927,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01834,map04922,Glucagon signaling pathway [PATH:ko04922]
K01834,map04131,Membrane trafficking [BR:ko04131]
K01834,map04147,Exosome [BR:ko04147]
K01834,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K01834,map00680,Methane metabolism [PATH:ko00680]
K01834,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K01834,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K15634,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K15634,map00680,Methane metabolism [PATH:ko00680]
K15634,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K15633,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K15633,map00680,Methane metabolism [PATH:ko00680]
K15633,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K15635,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K15635,map00680,Methane metabolism [PATH:ko00680]
K15635,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01689,map03018,RNA degradation [PATH:ko03018]
K01689,map04066,HIF-1 signaling pathway [PATH:ko04066]
K01689,map04147,Exosome [BR:ko04147]
K01689,map00680,Methane metabolism [PATH:ko00680]
K01689,map04820,Cytoskeleton in muscle cells [PATH:ko04820]
K01689,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01689,map03019,Messenger RNA biogenesis [BR:ko03019]
K00873,map04922,Glucagon signaling pathway [PATH:ko04922]
K00873,map00620,Pyruvate metabolism [PATH:ko00620]
K00873,map04131,Membrane trafficking [BR:ko04131]
K00873,map05165,Human papillomavirus infection [PATH:ko05165]
K00873,map04930,Type II diabetes mellitus [PATH:ko04930]
K00873,map04147,Exosome [BR:ko04147]
K00873,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00873,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00873,map05203,Viral carcinogenesis [PATH:ko05203]
K01006,map00620,Pyruvate metabolism [PATH:ko00620]
K01006,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K01006,map00720,Other carbon fixation pathways [PATH:ko00720]
K01006,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01007,map00680,Methane metabolism [PATH:ko00680]
K01007,map00620,Pyruvate metabolism [PATH:ko00620]
K01007,map00720,Other carbon fixation pathways [PATH:ko00720]
K01007,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00163,map00620,Pyruvate metabolism [PATH:ko00620]
K00163,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00163,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00163,map00785,Lipoic acid metabolism [PATH:ko00785]
K00161,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00161,map04922,Glucagon signaling pathway [PATH:ko04922]
K00161,map00620,Pyruvate metabolism [PATH:ko00620]
K00161,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00161,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00161,map00785,Lipoic acid metabolism [PATH:ko00785]
K00161,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00161,map05415,Diabetic cardiomyopathy [PATH:ko05415]
K00162,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00162,map04922,Glucagon signaling pathway [PATH:ko04922]
K00162,map00620,Pyruvate metabolism [PATH:ko00620]
K00162,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00162,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00162,map00785,Lipoic acid metabolism [PATH:ko00785]
K00162,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00162,map05415,Diabetic cardiomyopathy [PATH:ko05415]
K00627,map00620,Pyruvate metabolism [PATH:ko00620]
K00627,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00627,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00627,map00785,Lipoic acid metabolism [PATH:ko00785]
K00382,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]"
K00382,map00620,Pyruvate metabolism [PATH:ko00620]
K00382,map00640,Propanoate metabolism [PATH:ko00640]
K00382,map04147,Exosome [BR:ko04147]
K00382,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K00382,map00670,One carbon pool by folate [PATH:ko00670]
K00382,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00382,map00310,Lysine degradation [PATH:ko00310]
K00382,map00785,Lipoic acid metabolism [PATH:ko00785]
K00382,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
K00382,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00382,map00380,Tryptophan metabolism [PATH:ko00380]
K13997,map00620,Pyruvate metabolism [PATH:ko00620]
K13997,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K13997,map09113,Global maps only
K13997,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00169,map00650,Butanoate metabolism [PATH:ko00650]
K00169,map00620,Pyruvate metabolism [PATH:ko00620]
K00169,map00640,Propanoate metabolism [PATH:ko00640]
K00169,map00720,Other carbon fixation pathways [PATH:ko00720]
K00169,map00680,Methane metabolism [PATH:ko00680]
K00169,map00633,Nitrotoluene degradation [PATH:ko00633]
K00169,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00169,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00170,map00650,Butanoate metabolism [PATH:ko00650]
K00170,map00620,Pyruvate metabolism [PATH:ko00620]
K00170,map00640,Propanoate metabolism [PATH:ko00640]
K00170,map00720,Other carbon fixation pathways [PATH:ko00720]
K00170,map00680,Methane metabolism [PATH:ko00680]
K00170,map00633,Nitrotoluene degradation [PATH:ko00633]
K00170,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00170,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00172,map00650,Butanoate metabolism [PATH:ko00650]
K00172,map00620,Pyruvate metabolism [PATH:ko00620]
K00172,map00640,Propanoate metabolism [PATH:ko00640]
K00172,map00720,Other carbon fixation pathways [PATH:ko00720]
K00172,map00680,Methane metabolism [PATH:ko00680]
K00172,map00633,Nitrotoluene degradation [PATH:ko00633]
K00172,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00172,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00189,map00650,Butanoate metabolism [PATH:ko00650]
K00189,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]"
K00189,map00620,Pyruvate metabolism [PATH:ko00620]
K00189,map00640,Propanoate metabolism [PATH:ko00640]
K00189,map00720,Other carbon fixation pathways [PATH:ko00720]
K00189,map00680,Methane metabolism [PATH:ko00680]
K00189,map00633,Nitrotoluene degradation [PATH:ko00633]
K00189,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00189,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00171,map00650,Butanoate metabolism [PATH:ko00650]
K00171,map00620,Pyruvate metabolism [PATH:ko00620]
K00171,map00640,Propanoate metabolism [PATH:ko00640]
K00171,map00720,Other carbon fixation pathways [PATH:ko00720]
K00171,map00680,Methane metabolism [PATH:ko00680]
K00171,map00633,Nitrotoluene degradation [PATH:ko00633]
K00171,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00171,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K03737,map00650,Butanoate metabolism [PATH:ko00650]
K03737,map00620,Pyruvate metabolism [PATH:ko00620]
K03737,map00720,Other carbon fixation pathways [PATH:ko00720]
K03737,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K03737,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00174,map00650,Butanoate metabolism [PATH:ko00650]
K00174,map00620,Pyruvate metabolism [PATH:ko00620]
K00174,map00720,Other carbon fixation pathways [PATH:ko00720]
K00174,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00174,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00175,map00650,Butanoate metabolism [PATH:ko00650]
K00175,map00620,Pyruvate metabolism [PATH:ko00620]
K00175,map00720,Other carbon fixation pathways [PATH:ko00720]
K00175,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00175,map00020,Citrate cycle (TCA cycle) [PATH:ko00020]
K00016,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00016,map00270,Cysteine and methionine metabolism [PATH:ko00270]
K00016,map04922,Glucagon signaling pathway [PATH:ko04922]
K00016,map00620,Pyruvate metabolism [PATH:ko00620]
K00016,map00640,Propanoate metabolism [PATH:ko00640]
K00016,map04147,Exosome [BR:ko04147]
K00016,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00016,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01568,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00121,map00071,Fatty acid degradation [PATH:ko00071]
K00121,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K00121,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982]
K00121,map00620,Pyruvate metabolism [PATH:ko00620]
K00121,map00626,Naphthalene degradation [PATH:ko00626]
K00121,map00350,Tyrosine metabolism [PATH:ko00350]
K00121,map00830,Retinol metabolism [PATH:ko00830]
K00121,map04936,Alcoholic liver disease [PATH:ko04936]
K00121,map00680,Methane metabolism [PATH:ko00680]
K00121,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00121,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
K04072,map00650,Butanoate metabolism [PATH:ko00650]
K04072,map00071,Fatty acid degradation [PATH:ko00071]
K04072,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K04072,map00620,Pyruvate metabolism [PATH:ko00620]
K04072,map00626,Naphthalene degradation [PATH:ko00626]
K04072,map00350,Tyrosine metabolism [PATH:ko00350]
K04072,map05146,Amoebiasis [PATH:ko05146]
K04072,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K13953,map00071,Fatty acid degradation [PATH:ko00071]
K13953,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K13953,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982]
K13953,map00620,Pyruvate metabolism [PATH:ko00620]
K13953,map00626,Naphthalene degradation [PATH:ko00626]
K13953,map00350,Tyrosine metabolism [PATH:ko00350]
K13953,map00830,Retinol metabolism [PATH:ko00830]
K13953,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K13953,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
K13954,map00071,Fatty acid degradation [PATH:ko00071]
K13954,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K13954,map00620,Pyruvate metabolism [PATH:ko00620]
K13954,map00626,Naphthalene degradation [PATH:ko00626]
K13954,map00350,Tyrosine metabolism [PATH:ko00350]
K13954,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K18857,map00071,Fatty acid degradation [PATH:ko00071]
K18857,map00620,Pyruvate metabolism [PATH:ko00620]
K18857,map00350,Tyrosine metabolism [PATH:ko00350]
K18857,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K18857,map00592,alpha-Linolenic acid metabolism [PATH:ko00592]
K00001,map00071,Fatty acid degradation [PATH:ko00071]
K00001,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K00001,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982]
K00001,map00620,Pyruvate metabolism [PATH:ko00620]
K00001,map00626,Naphthalene degradation [PATH:ko00626]
K00001,map00350,Tyrosine metabolism [PATH:ko00350]
K00001,map00830,Retinol metabolism [PATH:ko00830]
K00001,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00001,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
K00002,map00561,Glycerolipid metabolism [PATH:ko00561]
K00002,map00620,Pyruvate metabolism [PATH:ko00620]
K00002,map04147,Exosome [BR:ko04147]
K00002,map00930,Caprolactam degradation [PATH:ko00930]
K00002,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00002,map05208,Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]
K00002,map00040,Pentose and glucuronate interconversions [PATH:ko00040]
K00002,map00053,Ascorbate and aldarate metabolism [PATH:ko00053]
K12957,map00907,"Pinene, camphor and geraniol degradation [PATH:ko00907]"
K12957,map00620,Pyruvate metabolism [PATH:ko00620]
K12957,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K13979,map00620,Pyruvate metabolism [PATH:ko00620]
K13979,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K13979,map00561,Glycerolipid metabolism [PATH:ko00561]
K14028,map00620,Pyruvate metabolism [PATH:ko00620]
K14028,map00680,Methane metabolism [PATH:ko00680]
K14028,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K14028,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K14029,map00620,Pyruvate metabolism [PATH:ko00620]
K14029,map00680,Methane metabolism [PATH:ko00680]
K14029,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K14029,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K00114,map00620,Pyruvate metabolism [PATH:ko00620]
K00114,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00114,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K04022,map00620,Pyruvate metabolism [PATH:ko00620]
K04022,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K22473,map00620,Pyruvate metabolism [PATH:ko00620]
K22473,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K22474,map00620,Pyruvate metabolism [PATH:ko00620]
K22474,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00128,map00071,Fatty acid degradation [PATH:ko00071]
K00128,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625]
K00128,map00561,Glycerolipid metabolism [PATH:ko00561]
K00128,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]"
K00128,map00620,Pyruvate metabolism [PATH:ko00620]
K00128,map00770,Pantothenate and CoA biosynthesis [PATH:ko00770]
K00128,map00410,beta-Alanine metabolism [PATH:ko00410]
K00128,map00981,Insect hormone biosynthesis [PATH:ko00981]
K00128,map04936,Alcoholic liver disease [PATH:ko04936]
K00128,map00330,Arginine and proline metabolism [PATH:ko00330]
K00128,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00128,map00310,Lysine degradation [PATH:ko00310]
K00128,map00340,Histidine metabolism [PATH:ko00340]
K00128,map00903,Limonene degradation [PATH:ko00903]
K00128,map00053,Ascorbate and aldarate metabolism [PATH:ko00053]
K00128,map00380,Tryptophan metabolism [PATH:ko00380]
K14085,map00071,Fatty acid degradation [PATH:ko00071]
K14085,map00561,Glycerolipid metabolism [PATH:ko00561]
K14085,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]"
K14085,map00620,Pyruvate metabolism [PATH:ko00620]
K14085,map00410,beta-Alanine metabolism [PATH:ko00410]
K14085,map04936,Alcoholic liver disease [PATH:ko04936]
K14085,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]"
K14085,map00670,One carbon pool by folate [PATH:ko00670]
K14085,map00330,Arginine and proline metabolism [PATH:ko00330]
K14085,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K14085,map00310,Lysine degradation [PATH:ko00310]
K14085,map00340,Histidine metabolism [PATH:ko00340]
K14085,map00053,Ascorbate and aldarate metabolism [PATH:ko00053]
K14085,map00380,Tryptophan metabolism [PATH:ko00380]
K00149,map00071,Fatty acid degradation [PATH:ko00071]
K00149,map00561,Glycerolipid metabolism [PATH:ko00561]
K00149,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]"
K00149,map00620,Pyruvate metabolism [PATH:ko00620]
K00149,map00410,beta-Alanine metabolism [PATH:ko00410]
K00149,map04936,Alcoholic liver disease [PATH:ko04936]
K00149,map00330,Arginine and proline metabolism [PATH:ko00330]
K00149,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00149,map00310,Lysine degradation [PATH:ko00310]
K00149,map00340,Histidine metabolism [PATH:ko00340]
K00149,map00053,Ascorbate and aldarate metabolism [PATH:ko00053]
K00149,map00380,Tryptophan metabolism [PATH:ko00380]
K00129,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982]
K00129,map00350,Tyrosine metabolism [PATH:ko00350]
K00129,map00410,beta-Alanine metabolism [PATH:ko00410]
K00129,map00360,Phenylalanine metabolism [PATH:ko00360]
K00129,map00340,Histidine metabolism [PATH:ko00340]
K00129,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00129,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
K00138,map00620,Pyruvate metabolism [PATH:ko00620]
K00138,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01895,map00620,Pyruvate metabolism [PATH:ko00620]
K01895,map00640,Propanoate metabolism [PATH:ko00640]
K01895,map00720,Other carbon fixation pathways [PATH:ko00720]
K01895,map00680,Methane metabolism [PATH:ko00680]
K01895,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01895,map01004,Lipid biosynthesis proteins [BR:ko01004]
K01895,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
