biosample_id,pathway_id,pathway_name,expr_sum
nmdc:bsm-11-042nd237,map00904,Diterpenoid biosynthesis [PATH:ko00904],12
nmdc:bsm-11-042nd237,map00906,Carotenoid biosynthesis [PATH:ko00906],1941
nmdc:bsm-11-042nd237,map00907,"Pinene, camphor and geraniol degradation [PATH:ko00907]",22482
nmdc:bsm-11-042nd237,map00908,Zeatin biosynthesis [PATH:ko00908],1317
nmdc:bsm-11-042nd237,map00909,Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909],16666
nmdc:bsm-11-042nd237,map00910,Nitrogen metabolism [PATH:ko00910],135449
nmdc:bsm-11-042nd237,map00920,Sulfur metabolism [PATH:ko00920],179457
nmdc:bsm-11-042nd237,map00930,Caprolactam degradation [PATH:ko00930],36339
nmdc:bsm-11-042nd237,map00940,Phenylpropanoid biosynthesis [PATH:ko00940],30632
nmdc:bsm-11-042nd237,map00941,Flavonoid biosynthesis [PATH:ko00941],387
nmdc:bsm-11-042nd237,map00942,Anthocyanin biosynthesis [PATH:ko00942],4
nmdc:bsm-11-042nd237,map00943,Isoflavonoid biosynthesis [PATH:ko00943],438
nmdc:bsm-11-042nd237,map00944,Flavone and flavonol biosynthesis [PATH:ko00944],144
nmdc:bsm-11-042nd237,map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]",379
nmdc:bsm-11-042nd237,map00946,Degradation of flavonoids [PATH:ko00946],8486
nmdc:bsm-11-042nd237,map00950,Isoquinoline alkaloid biosynthesis [PATH:ko00950],21000
nmdc:bsm-11-042nd237,map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]",28198
nmdc:bsm-11-042nd237,map00965,Betalain biosynthesis [PATH:ko00965],1263
nmdc:bsm-11-042nd237,map00966,Glucosinolate biosynthesis [PATH:ko00966],24100
nmdc:bsm-11-042nd237,map00970,Aminoacyl-tRNA biosynthesis [PATH:ko00970],133907
nmdc:bsm-11-042nd237,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],43289
nmdc:bsm-11-042nd237,map00981,Insect hormone biosynthesis [PATH:ko00981],20408
nmdc:bsm-11-042nd237,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982],44643
nmdc:bsm-11-042nd237,map00983,Drug metabolism - other enzymes [PATH:ko00983],87661
nmdc:bsm-11-042nd237,map00984,Steroid degradation [PATH:ko00984],6772
nmdc:bsm-11-042nd237,map00996,Biosynthesis of various alkaloids [PATH:ko00996],463
nmdc:bsm-11-042nd237,map00997,Biosynthesis of various other secondary metabolites [PATH:ko00997],1054
nmdc:bsm-11-042nd237,map00998,Biosynthesis of various antibiotics [PATH:ko00998],23176
nmdc:bsm-11-042nd237,map00999,Biosynthesis of various plant secondary metabolites [PATH:ko00999],38992
nmdc:bsm-11-042nd237,map01001,Protein kinases [BR:ko01001],170273
nmdc:bsm-11-042nd237,map01002,Peptidases and inhibitors [BR:ko01002],764324
nmdc:bsm-11-042nd237,map01003,Glycosyltransferases [BR:ko01003],101738
nmdc:bsm-11-042nd237,map01004,Lipid biosynthesis proteins [BR:ko01004],181314
nmdc:bsm-11-042nd237,map01005,Lipopolysaccharide biosynthesis proteins [BR:ko01005],65015
nmdc:bsm-11-042nd237,map01006,Prenyltransferases [BR:ko01006],29842
nmdc:bsm-11-042nd237,map01007,Amino acid related enzymes [BR:ko01007],252541
nmdc:bsm-11-042nd237,map01008,Polyketide biosynthesis proteins [BR:ko01008],38163
nmdc:bsm-11-042nd237,map01009,Protein phosphatases and associated proteins [BR:ko01009],66740
nmdc:bsm-11-042nd237,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],119076
nmdc:bsm-11-042nd237,map01040,Biosynthesis of unsaturated fatty acids [PATH:ko01040],16313
nmdc:bsm-11-042nd237,map01051,Biosynthesis of ansamycins [PATH:ko01051],21030
nmdc:bsm-11-042nd237,map01052,Type I polyketide structures [PATH:ko01052],390
nmdc:bsm-11-042nd237,map01053,Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053],1064
nmdc:bsm-11-042nd237,map01054,Nonribosomal peptide structures [PATH:ko01054],1437
nmdc:bsm-11-042nd237,map01055,Biosynthesis of vancomycin group antibiotics [PATH:ko01055],5347
nmdc:bsm-11-042nd237,map01056,Biosynthesis of type II polyketide backbone [PATH:ko01056],85
nmdc:bsm-11-042nd237,map01057,Biosynthesis of type II polyketide products [PATH:ko01057],12075
nmdc:bsm-11-042nd237,map01059,Biosynthesis of enediyne antibiotics [PATH:ko01059],7860
nmdc:bsm-11-042nd237,map01501,beta-Lactam resistance [PATH:ko01501],116378
nmdc:bsm-11-042nd237,map01502,Vancomycin resistance [PATH:ko01502],8291
nmdc:bsm-11-042nd237,map01503,Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503],123401
nmdc:bsm-11-042nd237,map01504,Antimicrobial resistance genes [BR:ko01504],121616
nmdc:bsm-11-042nd237,map01521,EGFR tyrosine kinase inhibitor resistance [PATH:ko01521],10668
nmdc:bsm-11-042nd237,map01522,Endocrine resistance [PATH:ko01522],8248
nmdc:bsm-11-042nd237,map01523,Antifolate resistance [PATH:ko01523],16625
nmdc:bsm-11-042nd237,map01524,Platinum drug resistance [PATH:ko01524],49701
nmdc:bsm-11-042nd237,map02000,Transporters [BR:ko02000],1831076
nmdc:bsm-11-042nd237,map02010,ABC transporters [PATH:ko02010],403514
nmdc:bsm-11-042nd237,map02020,Two-component system [PATH:ko02020],746937
nmdc:bsm-11-042nd237,map02022,Two-component system [BR:ko02022],176958
nmdc:bsm-11-042nd237,map02024,Quorum sensing [PATH:ko02024],526757
nmdc:bsm-11-042nd237,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025],198134
nmdc:bsm-11-042nd237,map02026,Biofilm formation - Escherichia coli [PATH:ko02026],144188
nmdc:bsm-11-042nd237,map02030,Bacterial chemotaxis [PATH:ko02030],46305
nmdc:bsm-11-042nd237,map02035,Bacterial motility proteins [BR:ko02035],322668
nmdc:bsm-11-042nd237,map02040,Flagellar assembly [PATH:ko02040],179067
nmdc:bsm-11-042nd237,map02042,Bacterial toxins [BR:ko02042],7251
nmdc:bsm-11-042nd237,map02044,Secretion system [BR:ko02044],679719
nmdc:bsm-11-042nd237,map02048,Prokaryotic defense system [BR:ko02048],94677
nmdc:bsm-11-042nd237,map02060,Phosphotransferase system (PTS) [PATH:ko02060],12902
nmdc:bsm-11-042nd237,map03000,Transcription factors [BR:ko03000],426881
nmdc:bsm-11-042nd237,map03008,Ribosome biogenesis in eukaryotes [PATH:ko03008],12137
nmdc:bsm-11-042nd237,map03009,Ribosome biogenesis [BR:ko03009],277798
nmdc:bsm-11-042nd237,map03010,Ribosome [PATH:ko03010],1128839
nmdc:bsm-11-042nd237,map03011,Ribosome [BR:ko03011],1129394
nmdc:bsm-11-042nd237,map03012,Translation factors [BR:ko03012],379642
nmdc:bsm-11-042nd237,map03013,Nucleocytoplasmic transport [PATH:ko03013],24697
nmdc:bsm-11-042nd237,map03015,mRNA surveillance pathway [PATH:ko03015],16220
nmdc:bsm-11-042nd237,map03016,Transfer RNA biogenesis [BR:ko03016],320957
nmdc:bsm-11-042nd237,map03018,RNA degradation [PATH:ko03018],347845
nmdc:bsm-11-042nd237,map03019,Messenger RNA biogenesis [BR:ko03019],441371
nmdc:bsm-11-042nd237,map03020,RNA polymerase [PATH:ko03020],326743
nmdc:bsm-11-042nd237,map03021,Transcription machinery [BR:ko03021],950443
nmdc:bsm-11-042nd237,map03022,Basal transcription factors [PATH:ko03022],5816
nmdc:bsm-11-042nd237,map03029,Mitochondrial biogenesis [BR:ko03029],857611
nmdc:bsm-11-042nd237,map03030,DNA replication [PATH:ko03030],65328
nmdc:bsm-11-042nd237,map03032,DNA replication proteins [BR:ko03032],235398
nmdc:bsm-11-042nd237,map03036,Chromosome and associated proteins [BR:ko03036],394567
nmdc:bsm-11-042nd237,map03037,Cilium and associated proteins [BR:ko03037],6239
nmdc:bsm-11-042nd237,map03040,Spliceosome [PATH:ko03040],24244
nmdc:bsm-11-042nd237,map03041,Spliceosome [BR:ko03041],87686
nmdc:bsm-11-042nd237,map03050,Proteasome [PATH:ko03050],17726
nmdc:bsm-11-042nd237,map03051,Proteasome [BR:ko03051],39440
nmdc:bsm-11-042nd237,map03060,Protein export [PATH:ko03060],213977
nmdc:bsm-11-042nd237,map03070,Bacterial secretion system [PATH:ko03070],327086
nmdc:bsm-11-042nd237,map03082,ATP-dependent chromatin remodeling [PATH:ko03082],13950
nmdc:bsm-11-042nd237,map03083,Polycomb repressive complex [PATH:ko03083],8752
nmdc:bsm-11-042nd237,map03110,Chaperones and folding catalysts [BR:ko03110],864765
nmdc:bsm-11-042nd237,map03200,Viral proteins [BR:ko03200],45
nmdc:bsm-11-042nd237,map03250,Viral life cycle - HIV-1 [PATH:ko03250],7235
nmdc:bsm-11-042nd237,map03258,Virion - Bacteriophage lambda [PATH:ko03258],7
nmdc:bsm-11-042nd237,map03264,Virion - Flavivirus and Alphavirus [PATH:ko03264],290
nmdc:bsm-11-042nd237,map03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus [PATH:ko03265]",482
nmdc:bsm-11-042nd237,map03266,Virion - Herpesvirus [PATH:ko03266],274
nmdc:bsm-11-042nd237,map03271,Virion - Rotavirus [PATH:ko03271],6
nmdc:bsm-11-042nd237,map03272,Virion - Hepatitis viruses [PATH:ko03272],2493
nmdc:bsm-11-042nd237,map03273,Virion - Lassa virus and SFTS virus [PATH:ko03273],1296
nmdc:bsm-11-042nd237,map03310,Nuclear receptors [BR:ko03310],75
nmdc:bsm-11-042nd237,map03320,PPAR signaling pathway [PATH:ko03320],87492
nmdc:bsm-11-042nd237,map03400,DNA repair and recombination proteins [BR:ko03400],702157
nmdc:bsm-11-042nd237,map03410,Base excision repair [PATH:ko03410],24090
nmdc:bsm-11-042nd237,map03420,Nucleotide excision repair [PATH:ko03420],42670
nmdc:bsm-11-042nd237,map03430,Mismatch repair [PATH:ko03430],60902
nmdc:bsm-11-042nd237,map03440,Homologous recombination [PATH:ko03440],75854
nmdc:bsm-11-042nd237,map03450,Non-homologous end-joining [PATH:ko03450],13731
nmdc:bsm-11-042nd237,map03460,Fanconi anemia pathway [PATH:ko03460],1486
nmdc:bsm-11-042nd237,map04010,MAPK signaling pathway [PATH:ko04010],18382
nmdc:bsm-11-042nd237,map04011,MAPK signaling pathway - yeast [PATH:ko04011],58402
nmdc:bsm-11-042nd237,map04012,ErbB signaling pathway [PATH:ko04012],9802
nmdc:bsm-11-042nd237,map04013,MAPK signaling pathway - fly [PATH:ko04013],29997
nmdc:bsm-11-042nd237,map04014,Ras signaling pathway [PATH:ko04014],17151
nmdc:bsm-11-042nd237,map04015,Rap1 signaling pathway [PATH:ko04015],14378
nmdc:bsm-11-042nd237,map04016,MAPK signaling pathway - plant [PATH:ko04016],25372
nmdc:bsm-11-042nd237,map04020,Calcium signaling pathway [PATH:ko04020],7954
nmdc:bsm-11-042nd237,map04022,cGMP-PKG signaling pathway [PATH:ko04022],16462
nmdc:bsm-11-042nd237,map04024,cAMP signaling pathway [PATH:ko04024],15541
nmdc:bsm-11-042nd237,map04030,G protein-coupled receptors [BR:ko04030],1003
nmdc:bsm-11-042nd237,map04031,GTP-binding proteins [BR:ko04031],22282
nmdc:bsm-11-042nd237,map04040,Ion channels [BR:ko04040],2025
nmdc:bsm-11-042nd237,map04052,Cytokines and neuropeptides [BR:ko04052],943
nmdc:bsm-11-042nd237,map04054,Pattern recognition receptors [BR:ko04054],71
nmdc:bsm-11-042nd237,map04060,Cytokine-cytokine receptor interaction [PATH:ko04060],24
nmdc:bsm-11-042nd237,map04062,Chemokine signaling pathway [PATH:ko04062],14772
nmdc:bsm-11-042nd237,map04064,NF-kappa B signaling pathway [PATH:ko04064],1146
nmdc:bsm-11-042nd237,map04066,HIF-1 signaling pathway [PATH:ko04066],47581
nmdc:bsm-11-042nd237,map04068,FoxO signaling pathway [PATH:ko04068],53902
nmdc:bsm-11-042nd237,map04070,Phosphatidylinositol signaling system [PATH:ko04070],12637
nmdc:bsm-11-042nd237,map04071,Sphingolipid signaling pathway [PATH:ko04071],29091
nmdc:bsm-11-042nd237,map04072,Phospholipase D signaling pathway [PATH:ko04072],14408
nmdc:bsm-11-042nd237,map04075,Plant hormone signal transduction [PATH:ko04075],47230
nmdc:bsm-11-042nd237,map04080,Neuroactive ligand-receptor interaction [PATH:ko04080],1017
nmdc:bsm-11-042nd237,map04081,Hormone signaling [PATH:ko04081],4567
nmdc:bsm-11-042nd237,map04090,CD molecules [BR:ko04090],5197
nmdc:bsm-11-042nd237,map04091,Lectins [BR:ko04091],1885
nmdc:bsm-11-042nd237,map04110,Cell cycle [PATH:ko04110],11951
nmdc:bsm-11-042nd237,map04111,Cell cycle - yeast [PATH:ko04111],16332
nmdc:bsm-11-042nd237,map04112,Cell cycle - Caulobacter [PATH:ko04112],318377
nmdc:bsm-11-042nd237,map04113,Meiosis - yeast [PATH:ko04113],53246
nmdc:bsm-11-042nd237,map04114,Oocyte meiosis [PATH:ko04114],13101
nmdc:bsm-11-042nd237,map04115,p53 signaling pathway [PATH:ko04115],15504
nmdc:bsm-11-042nd237,map04120,Ubiquitin mediated proteolysis [PATH:ko04120],35059
nmdc:bsm-11-042nd237,map04121,Ubiquitin system [BR:ko04121],55459
nmdc:bsm-11-042nd237,map04122,Sulfur relay system [PATH:ko04122],84018
nmdc:bsm-11-042nd237,map04130,SNARE interactions in vesicular transport [PATH:ko04130],1986
nmdc:bsm-11-042nd237,map04131,Membrane trafficking [BR:ko04131],201220
nmdc:bsm-11-042nd237,map04136,Autophagy - other [PATH:ko04136],5676
nmdc:bsm-11-042nd237,map04137,Mitophagy - animal [PATH:ko04137],48732
nmdc:bsm-11-042nd237,map04138,Autophagy - yeast [PATH:ko04138],25250
nmdc:bsm-11-042nd237,map04139,Mitophagy - yeast [PATH:ko04139],7003
nmdc:bsm-11-042nd237,map04140,Autophagy - animal [PATH:ko04140],49328
nmdc:bsm-11-042nd237,map04141,Protein processing in endoplasmic reticulum [PATH:ko04141],73595
nmdc:bsm-11-042nd237,map04142,Lysosome [PATH:ko04142],39220
nmdc:bsm-11-042nd237,map04144,Endocytosis [PATH:ko04144],27904
nmdc:bsm-11-042nd237,map04145,Phagosome [PATH:ko04145],38431
nmdc:bsm-11-042nd237,map04146,Peroxisome [PATH:ko04146],100554
nmdc:bsm-11-042nd237,map04147,Exosome [BR:ko04147],747169
nmdc:bsm-11-042nd237,map04148,Efferocytosis [PATH:ko04148],31645
nmdc:bsm-11-042nd237,map04150,mTOR signaling pathway [PATH:ko04150],18278
nmdc:bsm-11-042nd237,map04151,PI3K-Akt signaling pathway [PATH:ko04151],42285
nmdc:bsm-11-042nd237,map04152,AMPK signaling pathway [PATH:ko04152],30764
nmdc:bsm-11-042nd237,map04210,Apoptosis [PATH:ko04210],46488
nmdc:bsm-11-042nd237,map04211,Longevity regulating pathway [PATH:ko04211],35284
nmdc:bsm-11-042nd237,map04212,Longevity regulating pathway - worm [PATH:ko04212],277971
nmdc:bsm-11-042nd237,map04213,Longevity regulating pathway - multiple species [PATH:ko04213],120177
nmdc:bsm-11-042nd237,map04214,Apoptosis - fly [PATH:ko04214],20895
nmdc:bsm-11-042nd237,map04215,Apoptosis - multiple species [PATH:ko04215],12976
nmdc:bsm-11-042nd237,map04216,Ferroptosis [PATH:ko04216],29979
nmdc:bsm-11-042nd237,map04217,Necroptosis [PATH:ko04217],88822
nmdc:bsm-11-042nd237,map04218,Cellular senescence [PATH:ko04218],14274
