biosample_id,pathway_id,pathway_name,n_metag_kos,n_metat_kos,n_shared_kos
nmdc:bsm-11-042nd237,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],87,85,84
nmdc:bsm-11-042nd237,map00633,Nitrotoluene degradation [PATH:ko00633],17,15,15
nmdc:bsm-11-042nd237,map00640,Propanoate metabolism [PATH:ko00640],75,72,70
nmdc:bsm-11-042nd237,map00642,Ethylbenzene degradation [PATH:ko00642],6,6,5
nmdc:bsm-11-042nd237,map00643,Styrene degradation [PATH:ko00643],16,15,15
nmdc:bsm-11-042nd237,map00650,Butanoate metabolism [PATH:ko00650],88,86,85
nmdc:bsm-11-042nd237,map00660,C5-Branched dibasic acid metabolism [PATH:ko00660],22,22,21
nmdc:bsm-11-042nd237,map00670,One carbon pool by folate [PATH:ko00670],42,44,42
nmdc:bsm-11-042nd237,map00680,Methane metabolism [PATH:ko00680],137,114,114
nmdc:bsm-11-042nd237,map00710,Carbon fixation by Calvin cycle [PATH:ko00710],30,32,30
nmdc:bsm-11-042nd237,map00720,Other carbon fixation pathways [PATH:ko00720],78,69,67
nmdc:bsm-11-042nd237,map00730,Thiamine metabolism [PATH:ko00730],29,26,25
nmdc:bsm-11-042nd237,map00740,Riboflavin metabolism [PATH:ko00740],35,30,29
nmdc:bsm-11-042nd237,map00750,Vitamin B6 metabolism [PATH:ko00750],20,16,16
nmdc:bsm-11-042nd237,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760],60,59,54
nmdc:bsm-11-042nd237,map00770,Pantothenate and CoA biosynthesis [PATH:ko00770],37,34,33
nmdc:bsm-11-042nd237,map00780,Biotin metabolism [PATH:ko00780],17,16,16
nmdc:bsm-11-042nd237,map00785,Lipoic acid metabolism [PATH:ko00785],26,23,23
nmdc:bsm-11-042nd237,map00790,Folate biosynthesis [PATH:ko00790],55,57,52
nmdc:bsm-11-042nd237,map00791,Atrazine degradation [PATH:ko00791],10,12,10
nmdc:bsm-11-042nd237,map00830,Retinol metabolism [PATH:ko00830],8,10,8
nmdc:bsm-11-042nd237,map00860,Porphyrin metabolism [PATH:ko00860],84,77,74
nmdc:bsm-11-042nd237,map00900,Terpenoid backbone biosynthesis [PATH:ko00900],42,38,37
nmdc:bsm-11-042nd237,map00901,Indole alkaloid biosynthesis [PATH:ko00901],2,1,1
nmdc:bsm-11-042nd237,map00902,Monoterpenoid biosynthesis [PATH:ko00902],1,1,1
nmdc:bsm-11-042nd237,map00903,Limonene degradation [PATH:ko00903],5,5,5
nmdc:bsm-11-042nd237,map00904,Diterpenoid biosynthesis [PATH:ko00904],0,1,0
nmdc:bsm-11-042nd237,map00905,Brassinosteroid biosynthesis [PATH:ko00905],0,0,0
nmdc:bsm-11-042nd237,map00906,Carotenoid biosynthesis [PATH:ko00906],26,15,13
nmdc:bsm-11-042nd237,map00907,"Pinene, camphor and geraniol degradation [PATH:ko00907]",18,17,17
nmdc:bsm-11-042nd237,map00908,Zeatin biosynthesis [PATH:ko00908],2,2,2
nmdc:bsm-11-042nd237,map00909,Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909],9,6,6
nmdc:bsm-11-042nd237,map00910,Nitrogen metabolism [PATH:ko00910],46,44,41
nmdc:bsm-11-042nd237,map00920,Sulfur metabolism [PATH:ko00920],83,81,80
nmdc:bsm-11-042nd237,map00930,Caprolactam degradation [PATH:ko00930],15,16,15
nmdc:bsm-11-042nd237,map00940,Phenylpropanoid biosynthesis [PATH:ko00940],6,10,5
nmdc:bsm-11-042nd237,map00941,Flavonoid biosynthesis [PATH:ko00941],2,3,2
nmdc:bsm-11-042nd237,map00942,Anthocyanin biosynthesis [PATH:ko00942],0,1,0
nmdc:bsm-11-042nd237,map00943,Isoflavonoid biosynthesis [PATH:ko00943],1,1,1
nmdc:bsm-11-042nd237,map00944,Flavone and flavonol biosynthesis [PATH:ko00944],1,2,1
nmdc:bsm-11-042nd237,map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]",1,2,1
nmdc:bsm-11-042nd237,map00946,Degradation of flavonoids [PATH:ko00946],4,3,3
nmdc:bsm-11-042nd237,map00950,Isoquinoline alkaloid biosynthesis [PATH:ko00950],12,13,12
nmdc:bsm-11-042nd237,map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]",14,15,14
nmdc:bsm-11-042nd237,map00965,Betalain biosynthesis [PATH:ko00965],3,2,2
nmdc:bsm-11-042nd237,map00966,Glucosinolate biosynthesis [PATH:ko00966],2,2,2
nmdc:bsm-11-042nd237,map00970,Aminoacyl-tRNA biosynthesis [PATH:ko00970],36,38,36
nmdc:bsm-11-042nd237,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],10,14,10
nmdc:bsm-11-042nd237,map00981,Insect hormone biosynthesis [PATH:ko00981],1,3,1
nmdc:bsm-11-042nd237,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982],9,11,9
nmdc:bsm-11-042nd237,map00983,Drug metabolism - other enzymes [PATH:ko00983],24,25,23
nmdc:bsm-11-042nd237,map00984,Steroid degradation [PATH:ko00984],15,14,14
nmdc:bsm-11-042nd237,map00996,Biosynthesis of various alkaloids [PATH:ko00996],1,1,1
nmdc:bsm-11-042nd237,map00997,Biosynthesis of various other secondary metabolites [PATH:ko00997],14,8,8
nmdc:bsm-11-042nd237,map00998,Biosynthesis of various antibiotics [PATH:ko00998],9,9,8
nmdc:bsm-11-042nd237,map00999,Biosynthesis of various plant secondary metabolites [PATH:ko00999],7,7,7
nmdc:bsm-11-042nd237,map01001,Protein kinases [BR:ko01001],186,264,162
nmdc:bsm-11-042nd237,map01002,Peptidases and inhibitors [BR:ko01002],296,358,276
nmdc:bsm-11-042nd237,map01003,Glycosyltransferases [BR:ko01003],146,130,118
nmdc:bsm-11-042nd237,map01004,Lipid biosynthesis proteins [BR:ko01004],101,91,82
nmdc:bsm-11-042nd237,map01005,Lipopolysaccharide biosynthesis proteins [BR:ko01005],72,56,54
nmdc:bsm-11-042nd237,map01006,Prenyltransferases [BR:ko01006],27,26,25
nmdc:bsm-11-042nd237,map01007,Amino acid related enzymes [BR:ko01007],87,86,81
nmdc:bsm-11-042nd237,map01008,Polyketide biosynthesis proteins [BR:ko01008],162,124,112
nmdc:bsm-11-042nd237,map01009,Protein phosphatases and associated proteins [BR:ko01009],95,131,87
nmdc:bsm-11-042nd237,map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],67,61,61
nmdc:bsm-11-042nd237,map01040,Biosynthesis of unsaturated fatty acids [PATH:ko01040],17,20,17
nmdc:bsm-11-042nd237,map01051,Biosynthesis of ansamycins [PATH:ko01051],15,11,10
nmdc:bsm-11-042nd237,map01052,Type I polyketide structures [PATH:ko01052],29,14,13
nmdc:bsm-11-042nd237,map01053,Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053],25,15,15
nmdc:bsm-11-042nd237,map01054,Nonribosomal peptide structures [PATH:ko01054],20,18,16
nmdc:bsm-11-042nd237,map01055,Biosynthesis of vancomycin group antibiotics [PATH:ko01055],15,12,12
nmdc:bsm-11-042nd237,map01056,Biosynthesis of type II polyketide backbone [PATH:ko01056],5,5,5
nmdc:bsm-11-042nd237,map01057,Biosynthesis of type II polyketide products [PATH:ko01057],13,10,9
nmdc:bsm-11-042nd237,map01059,Biosynthesis of enediyne antibiotics [PATH:ko01059],27,24,21
nmdc:bsm-11-042nd237,map01501,beta-Lactam resistance [PATH:ko01501],29,27,26
nmdc:bsm-11-042nd237,map01502,Vancomycin resistance [PATH:ko01502],17,12,12
nmdc:bsm-11-042nd237,map01503,Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503],30,26,24
nmdc:bsm-11-042nd237,map01504,Antimicrobial resistance genes [BR:ko01504],102,72,71
nmdc:bsm-11-042nd237,map01521,EGFR tyrosine kinase inhibitor resistance [PATH:ko01521],10,15,9
nmdc:bsm-11-042nd237,map01522,Endocrine resistance [PATH:ko01522],8,19,7
nmdc:bsm-11-042nd237,map01523,Antifolate resistance [PATH:ko01523],6,10,6
nmdc:bsm-11-042nd237,map01524,Platinum drug resistance [PATH:ko01524],16,20,16
nmdc:bsm-11-042nd237,map02000,Transporters [BR:ko02000],968,911,820
nmdc:bsm-11-042nd237,map02010,ABC transporters [PATH:ko02010],344,300,287
nmdc:bsm-11-042nd237,map02020,Two-component system [PATH:ko02020],340,295,288
nmdc:bsm-11-042nd237,map02022,Two-component system [BR:ko02022],202,170,164
nmdc:bsm-11-042nd237,map02024,Quorum sensing [PATH:ko02024],148,128,126
nmdc:bsm-11-042nd237,map02025,Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025],74,69,69
nmdc:bsm-11-042nd237,map02026,Biofilm formation - Escherichia coli [PATH:ko02026],39,40,38
nmdc:bsm-11-042nd237,map02030,Bacterial chemotaxis [PATH:ko02030],23,20,20
nmdc:bsm-11-042nd237,map02035,Bacterial motility proteins [BR:ko02035],111,106,104
nmdc:bsm-11-042nd237,map02040,Flagellar assembly [PATH:ko02040],47,44,44
nmdc:bsm-11-042nd237,map02042,Bacterial toxins [BR:ko02042],15,10,9
nmdc:bsm-11-042nd237,map02044,Secretion system [BR:ko02044],240,196,187
nmdc:bsm-11-042nd237,map02048,Prokaryotic defense system [BR:ko02048],116,104,103
nmdc:bsm-11-042nd237,map02060,Phosphotransferase system (PTS) [PATH:ko02060],28,17,15
nmdc:bsm-11-042nd237,map03000,Transcription factors [BR:ko03000],351,368,302
nmdc:bsm-11-042nd237,map03008,Ribosome biogenesis in eukaryotes [PATH:ko03008],63,65,63
nmdc:bsm-11-042nd237,map03009,Ribosome biogenesis [BR:ko03009],277,277,266
nmdc:bsm-11-042nd237,map03010,Ribosome [PATH:ko03010],117,134,117
nmdc:bsm-11-042nd237,map03011,Ribosome [BR:ko03011],132,154,130
nmdc:bsm-11-042nd237,map03012,Translation factors [BR:ko03012],80,84,78
nmdc:bsm-11-042nd237,map03013,Nucleocytoplasmic transport [PATH:ko03013],58,71,58
nmdc:bsm-11-042nd237,map03015,mRNA surveillance pathway [PATH:ko03015],45,55,45
nmdc:bsm-11-042nd237,map03016,Transfer RNA biogenesis [BR:ko03016],197,196,183
nmdc:bsm-11-042nd237,map03018,RNA degradation [PATH:ko03018],60,67,59
nmdc:bsm-11-042nd237,map03019,Messenger RNA biogenesis [BR:ko03019],205,258,204
nmdc:bsm-11-042nd237,map03020,RNA polymerase [PATH:ko03020],36,38,33
nmdc:bsm-11-042nd237,map03021,Transcription machinery [BR:ko03021],193,208,182
nmdc:bsm-11-042nd237,map03022,Basal transcription factors [PATH:ko03022],30,31,28
nmdc:bsm-11-042nd237,map03029,Mitochondrial biogenesis [BR:ko03029],198,242,185
nmdc:bsm-11-042nd237,map03030,DNA replication [PATH:ko03030],55,49,49
nmdc:bsm-11-042nd237,map03032,DNA replication proteins [BR:ko03032],121,122,108
nmdc:bsm-11-042nd237,map03036,Chromosome and associated proteins [BR:ko03036],377,458,344
nmdc:bsm-11-042nd237,map03037,Cilium and associated proteins [BR:ko03037],26,95,19
nmdc:bsm-11-042nd237,map03040,Spliceosome [PATH:ko03040],79,99,77
nmdc:bsm-11-042nd237,map03041,Spliceosome [BR:ko03041],145,207,141
nmdc:bsm-11-042nd237,map03050,Proteasome [PATH:ko03050],38,43,38
nmdc:bsm-11-042nd237,map03051,Proteasome [BR:ko03051],58,64,58
nmdc:bsm-11-042nd237,map03060,Protein export [PATH:ko03060],35,42,35
nmdc:bsm-11-042nd237,map03070,Bacterial secretion system [PATH:ko03070],60,56,55
nmdc:bsm-11-042nd237,map03082,ATP-dependent chromatin remodeling [PATH:ko03082],34,42,33
nmdc:bsm-11-042nd237,map03083,Polycomb repressive complex [PATH:ko03083],13,23,13
nmdc:bsm-11-042nd237,map03110,Chaperones and folding catalysts [BR:ko03110],135,165,130
nmdc:bsm-11-042nd237,map03200,Viral proteins [BR:ko03200],4,2,2
nmdc:bsm-11-042nd237,map03250,Viral life cycle - HIV-1 [PATH:ko03250],17,23,17
nmdc:bsm-11-042nd237,map03258,Virion - Bacteriophage lambda [PATH:ko03258],3,1,1
nmdc:bsm-11-042nd237,map03264,Virion - Flavivirus and Alphavirus [PATH:ko03264],1,1,1
nmdc:bsm-11-042nd237,map03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus [PATH:ko03265]",1,2,1
nmdc:bsm-11-042nd237,map03266,Virion - Herpesvirus [PATH:ko03266],1,1,1
nmdc:bsm-11-042nd237,map03268,Virion - Orthopoxvirus [PATH:ko03268],0,0,0
nmdc:bsm-11-042nd237,map03271,Virion - Rotavirus [PATH:ko03271],0,1,0
nmdc:bsm-11-042nd237,map03272,Virion - Hepatitis viruses [PATH:ko03272],8,11,8
nmdc:bsm-11-042nd237,map03273,Virion - Lassa virus and SFTS virus [PATH:ko03273],1,1,1
nmdc:bsm-11-042nd237,map03310,Nuclear receptors [BR:ko03310],0,7,0
nmdc:bsm-11-042nd237,map03320,PPAR signaling pathway [PATH:ko03320],14,22,14
nmdc:bsm-11-042nd237,map03400,DNA repair and recombination proteins [BR:ko03400],279,292,259
nmdc:bsm-11-042nd237,map03410,Base excision repair [PATH:ko03410],44,44,42
nmdc:bsm-11-042nd237,map03420,Nucleotide excision repair [PATH:ko03420],50,55,49
nmdc:bsm-11-042nd237,map03430,Mismatch repair [PATH:ko03430],41,38,38
nmdc:bsm-11-042nd237,map03440,Homologous recombination [PATH:ko03440],49,46,45
nmdc:bsm-11-042nd237,map03450,Non-homologous end-joining [PATH:ko03450],11,12,11
nmdc:bsm-11-042nd237,map03460,Fanconi anemia pathway [PATH:ko03460],26,25,23
nmdc:bsm-11-042nd237,map04010,MAPK signaling pathway [PATH:ko04010],17,52,15
nmdc:bsm-11-042nd237,map04011,MAPK signaling pathway - yeast [PATH:ko04011],59,63,59
nmdc:bsm-11-042nd237,map04012,ErbB signaling pathway [PATH:ko04012],8,18,8
nmdc:bsm-11-042nd237,map04013,MAPK signaling pathway - fly [PATH:ko04013],12,37,12
nmdc:bsm-11-042nd237,map04014,Ras signaling pathway [PATH:ko04014],20,45,19
nmdc:bsm-11-042nd237,map04015,Rap1 signaling pathway [PATH:ko04015],8,42,7
nmdc:bsm-11-042nd237,map04016,MAPK signaling pathway - plant [PATH:ko04016],8,11,8
nmdc:bsm-11-042nd237,map04020,Calcium signaling pathway [PATH:ko04020],15,35,14
nmdc:bsm-11-042nd237,map04022,cGMP-PKG signaling pathway [PATH:ko04022],15,32,14
nmdc:bsm-11-042nd237,map04024,cAMP signaling pathway [PATH:ko04024],14,42,12
nmdc:bsm-11-042nd237,map04030,G protein-coupled receptors [BR:ko04030],5,17,3
nmdc:bsm-11-042nd237,map04031,GTP-binding proteins [BR:ko04031],23,50,23
nmdc:bsm-11-042nd237,map04040,Ion channels [BR:ko04040],11,34,9
nmdc:bsm-11-042nd237,map04052,Cytokines and neuropeptides [BR:ko04052],2,4,2
nmdc:bsm-11-042nd237,map04054,Pattern recognition receptors [BR:ko04054],4,3,2
nmdc:bsm-11-042nd237,map04060,Cytokine-cytokine receptor interaction [PATH:ko04060],0,3,0
nmdc:bsm-11-042nd237,map04062,Chemokine signaling pathway [PATH:ko04062],10,29,10
nmdc:bsm-11-042nd237,map04064,NF-kappa B signaling pathway [PATH:ko04064],4,9,4
nmdc:bsm-11-042nd237,map04066,HIF-1 signaling pathway [PATH:ko04066],20,28,19
nmdc:bsm-11-042nd237,map04068,FoxO signaling pathway [PATH:ko04068],19,32,17
nmdc:bsm-11-042nd237,map04070,Phosphatidylinositol signaling system [PATH:ko04070],24,29,23
nmdc:bsm-11-042nd237,map04071,Sphingolipid signaling pathway [PATH:ko04071],22,37,22
nmdc:bsm-11-042nd237,map04072,Phospholipase D signaling pathway [PATH:ko04072],15,30,15
nmdc:bsm-11-042nd237,map04075,Plant hormone signal transduction [PATH:ko04075],7,8,5
nmdc:bsm-11-042nd237,map04080,Neuroactive ligand-receptor interaction [PATH:ko04080],6,8,4
nmdc:bsm-11-042nd237,map04081,Hormone signaling [PATH:ko04081],10,21,8
nmdc:bsm-11-042nd237,map04090,CD molecules [BR:ko04090],8,24,6
nmdc:bsm-11-042nd237,map04091,Lectins [BR:ko04091],7,16,7
nmdc:bsm-11-042nd237,map04110,Cell cycle [PATH:ko04110],59,72,56
nmdc:bsm-11-042nd237,map04111,Cell cycle - yeast [PATH:ko04111],84,84,80
nmdc:bsm-11-042nd237,map04112,Cell cycle - Caulobacter [PATH:ko04112],30,29,28
nmdc:bsm-11-042nd237,map04113,Meiosis - yeast [PATH:ko04113],60,59,56
nmdc:bsm-11-042nd237,map04114,Oocyte meiosis [PATH:ko04114],32,41,30
