bin_oid	Bin ID	Genome Name	IMG Genome ID	Bin Lineage	Bin Methods	Created By	Date Added	Bin Completeness	Bin Contamination	Average Coverage	Total Number of Bases	5s rRNA	18s rRNA	28s rRNA	Scaffold Count
3300079120_35	3300079120_35	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_071-O-20230711-COMP-DNA1	3300079120	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-04	71.8	1.5		31195634	8	0	0	4606
3300079391_60	3300079391_60	Soil microbial communities from Toolik Field Station NEON Field Site, Alaska, USA - TOOL_005-O-20230719-COMP-DNA1	3300079391	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-04	62.03	0.38		15388226	7	0	0	1923
3300078364_27	3300078364_27	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_047-O-20230626-COMP-DNA1	3300078364	Eukaryota; Basidiomycota; Agaricomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-28	63.77	0.74		19095928	3	0	0	2612
3300079098_21	3300079098_21	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPIXYLON.3.DNA-DNA1	3300079098	Eukaryota; Ascomycota; Sordariomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-28	86.84	1.13		29275857	16	0	0	1147
3300079098_33	3300079098_33	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPIXYLON.3.DNA-DNA1	3300079098	Eukaryota; Ascomycota; Sordariomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-28	96.24	0.75		45414287	21	0	0	3040
3300079098_71	3300079098_71	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPIXYLON.3.DNA-DNA1	3300079098	Eukaryota; Ascomycota; Sordariomycetes; Microascales; Microascaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-28	52.26	6.39		18194436	6	0	0	3079
3300078359_49	3300078359_49	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_048-O-20230626-COMP-DNA1	3300078359	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	95.49	1.13		49976074	13	0	1	905
3300078417_20	3300078417_20	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_006-M-20230628-COMP-DNA1	3300078417	Eukaryota; Ascomycota; Eurotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	73.68	0		32171753	7	0	0	3041
3300078837_44	3300078837_44	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.4.DNA-DNA1	3300078837	Eukaryota; Chlorophyta; Ulvophyceae; Ulvales; Ulvaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	52.4	3		30867177	3	3	3	1278
3300078837_89	3300078837_89	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.4.DNA-DNA1	3300078837	Eukaryota; Chlorophyta	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	57.8	2.6		52113311	3	2	1	3306
3300079106_25	3300079106_25	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.1.DNA-DNA1	3300079106	Eukaryota; Chlorophyta; Ulvophyceae; Ulvales; Ulvaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	57	3.6		33039337	3	3	5	1573
3300079106_29	3300079106_29	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.1.DNA-DNA1	3300079106	Eukaryota; Chlorophyta; Ulvophyceae; Ulvales; Ulvaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	66.8	4.8		62543173	5	2	1	3527
3300079307_24	3300079307_24	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.5.DNA-DNA1	3300079307	Eukaryota; Chlorophyta	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	59.4	2.2		52321384	2	2	1	2952
3300079307_43	3300079307_43	Freshwater biofilm microbial communities from Walker Branch NEON Field Site, Oak Ridge, TN, USA - WALK.20230706.EPILITHON.5.DNA-DNA1	3300079307	Eukaryota; Chlorophyta; Ulvophyceae; Ulvales; Ulvaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-14	64	3.4		35510712	3	3	6	1855
3300078394_29	3300078394_29	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_071-O-20230710-COMP-DNA1	3300078394	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-10-03	80.83	0.38		30598743	6	0	1	2845
3300077817_71	3300077817_71	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_002-O-20230629-COMP-DNA1	3300077817	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-27	93.61	0.38		37397604	10	0	1	2566
3300077818_47	3300077818_47	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_006-O-20230628-COMP-DNA1	3300077818	Eukaryota; Ascomycota; Eurotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-27	57.52	0		17475094	2	0	0	1908
3300077818_60	3300077818_60	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_006-O-20230628-COMP-DNA1	3300077818	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-27	91.35	0.75		32872241	10	0	1	2106
3300077820_23	3300077820_23	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_009-O-20230628-COMP-DNA1	3300077820	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-27	99.25	1.88		40525870	11	0	2	649
3300077820_31	3300077820_31	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_009-O-20230628-COMP-DNA1	3300077820	Eukaryota; Ascomycota; Eurotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-27	91.73	0.38		37263747	9	0	0	1946
3300077906_57	3300077906_57	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_045-M-20230626-COMP-DNA1	3300077906	Eukaryota; Ascomycota; Eurotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-16	58.65	2.63		16093129	3	0	0	2398
3300078160_18	3300078160_18	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_046-M-20230626-COMP-DNA1	3300078160	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-09	72.93	9.02		19520008	1	0	0	2317
3300078160_34	3300078160_34	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_046-M-20230626-COMP-DNA1	3300078160	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-09	83.08	0.38		23739987	8	0	0	2010
3300077907_61	3300077907_61	Soil microbial communities from Delta Junction NEON Field Site, Alaska, USA - DEJU_045-O-20230626-COMP-DNA1	3300077907	Eukaryota; Ascomycota; Eurotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-09-06	76.69	5.26		23726894	3	0	0	2716
3300076649_60	3300076649_60	Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_033-O-20230703-COMP-DNA1	3300076649	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-08-15	81.58	1.5		26288791	10	0	0	1405
3300076649_89	3300076649_89	Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_033-O-20230703-COMP-DNA1	3300076649	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-08-15	66.92	0		22333056	5	1	0	1826
3300076623_14	3300076623_14	Soil microbial communities from Harvard Forest and Quabbin Watershed NEON Field Site, Massachusetts, USA - HARV_021-O-20230706-COMP-DNA1	3300076623	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-08-14	88.72	0.75		30283219	3	0	0	1967
3300061175_43	3300061175_43	Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_012-O-20210708-comp-1	3300061175	Eukaryota; Ascomycota; Pezizomycetes; Pezizales; Tuberaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	62.78	0.38		24014139	23	0	1	2746
3300062825_11	3300062825_11	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_4-s115 day 182	3300062825	Eukaryota; Basidiomycota; Tremellomycetes; Tremellales; Cryptococcaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	50	0		12160485	0	0	0	1465
3300062825_16	3300062825_16	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_4-s115 day 182	3300062825	Eukaryota; Ascomycota; Dothideomycetes; Mycosphaerellales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	57.89	7.52		21015585	47	0	0	1829
3300062825_37	3300062825_37	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_4-s115 day 182	3300062825	Eukaryota; Ascomycota; Dothideomycetes; Pleosporales; Phaeosphaeriaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	96.62	6.77		37381090	42	0	1	1233
3300062825_43	3300062825_43	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_4-s115 day 182	3300062825	Eukaryota; Basidiomycota; Tremellomycetes; Tremellales; Cryptococcaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	92	1		18234470	13	0	1	414
3300062825_90	3300062825_90	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_4-s115 day 182	3300062825	Eukaryota; Ascomycota; Dothideomycetes; Pleosporales; Pleosporaceae; Alternaria	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-15	95.49	0		29952288	32	1	0	217
3300063208_3	3300063208_3	Peat soil microbial communities from Marcell Experimental Forest, Minnesota, USA - QM0277_16O14N-Am_15_5_2_SIPMG7	3300063208	Eukaryota; Ascomycota; Leotiomycetes; Helotiales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-09	70.68	1.13		35781193	10	0	2	2880
3300063120_12	3300063120_12	Biomass microbial communities from CSTR bioreactor in University of Wisconsin, Madison, WI, USA - KW_UFMP2.1_week20.1	3300063120	Eukaryota; Ascomycota; Saccharomycetes; Saccharomycetales; Debaryomycetaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	100	0		13902007	1	4	2	48
3300063120_5	3300063120_5	Biomass microbial communities from CSTR bioreactor in University of Wisconsin, Madison, WI, USA - KW_UFMP2.1_week20.1	3300063120	Eukaryota; Ascomycota; Saccharomycetes; Saccharomycetales; Dipodascaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	93.37	0		18896332	93	0	0	980
3300063169_13	3300063169_13	Peat moss microbial communities from Litchfield Island, Antarctica - 18O.19W.11 SIP fraction	3300063169	Eukaryota; Ascomycota; Leotiomycetes; Myxotrichaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	75.19	1.13		30912401	12	2	4	3588
3300063171_18	3300063171_18	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_70-s34 day 308	3300063171	Eukaryota; Ascomycota; Dothideomycetes; Pleosporales; Didymosphaeriaceae; Paraphaeosphaeria	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	92.11	5.26		31721780	27	0	0	1145
3300063171_27	3300063171_27	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_70-s34 day 308	3300063171	Eukaryota; Ascomycota; Dothideomycetes; Dothideales; Saccotheciaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	63.91	1.13		14219231	26	0	0	1752
3300065117_26	3300065117_26	Seawater microbial communities from the Bermuda Atlantic Time Series site, Sargasso Sea, North Atlantic Ocean - T0 DCM	3300065117	Eukaryota; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Ostreococcus	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-08	72.6	0.4		9271978	0	0	0	1143
3300060889_8	3300060889_8	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_004-O-20210622-comp-1	3300060889	Eukaryota; Basidiomycota; Agaricomycetes; Russulales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-05	71.71	0.74		18961628	14	0	0	1919
3300060913_58	3300060913_58	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_004-O-20210805-comp-1	3300060913	Eukaryota; Ascomycota; Leotiomycetes; Pseudeurotiaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-05	100	0.38		40854813	5	0	0	1295
3300065081_64	3300065081_64	Soil microbial communities from Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA - CCASE.MG.2014.3	3300065081	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-07-05	59.02	0.38		19804194	3	0	0	2145
3300062846_88	3300062846_88	Soil microbial communities from Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA - CCASE.MG.2022.25	3300062846	Eukaryota; Basidiomycota; Agaricomycetes; Agaricales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-25	52.61	0		11061600	0	0	0	1157
3300062836_49	3300062836_49	Soil microbial communities from Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA - CCASE.MG.2022.27	3300062836	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-24	85.71	1.13		29413398	7	0	0	2186
3300062451_3	3300062451_3	Blue grama grass litter microbial communities from Los Alamos, New Mexico, USA - Field_106-s41 day 154	3300062451	Eukaryota; Basidiomycota; Tremellomycetes; Tremellales; Cryptococcaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	52.94	0		16246968	0	0	0	1520
3300062681_12	3300062681_12	Biomass microbial communities from CSTR bioreactor in University of Wisconsin, Madison, WI, USA - KW_UFMP2.1_week20.2	3300062681	Eukaryota; Ascomycota; Saccharomycetes; Saccharomycetales; Dipodascaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	69.36	0		14017629	59	0	0	1910
3300062681_7	3300062681_7	Biomass microbial communities from CSTR bioreactor in University of Wisconsin, Madison, WI, USA - KW_UFMP2.1_week20.2	3300062681	Eukaryota; Ascomycota; Saccharomycetes; Saccharomycetales; Debaryomycetaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	100	0.21		13967672	1	4	2	105
3300062684_39	3300062684_39	Soil microbial communities from Holy Fire Burn scar, Cleveland National Forest, California, USA - CNF8NT12	3300062684	Eukaryota; Ascomycota; Dothideomycetes; Venturiales; Sympoventuriaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	68.42	0.75		17757757	3	0	0	2461
3300062781_44	3300062781_44	Soil microbial communities from Holy Fire Burn scar, Cleveland National Forest, California, USA - CNF2NT12	3300062781	Eukaryota; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	87.22	0		20994109	26	0	0	1245
3300064747_1	3300064747_1	Pine needle microbial communities from Auraria, Denver, Colorado, USA - UC Denver P. ponderosa Needle P4 SB	3300064747	Eukaryota; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-17	96.99	0		26280840	29	0	0	63
3300062557_19	3300062557_19	Soil microbial communities from Holy Fire Burn scar, Cleveland National Forest, California, USA - CNF8ET13	3300062557	Eukaryota; Ascomycota; Dothideomycetes; Venturiales; Sympoventuriaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-14	62.41	0.38		16215142	5	0	0	2487
3300062452_22	3300062452_22	Salt marsh sediment microbial communities from Mullica River estuary, Port Republic, New Jersey, USA - F_SA_0cm_3	3300062452	Eukaryota; Fornicata	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-13	55.56	6.35		2138647	1	0	0	122
3300062457_31	3300062457_31	Salt marsh sediment microbial communities from Mullica River estuary, Port Republic, New Jersey, USA - F_SA_0cm_7	3300062457	Eukaryota; Fornicata	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-13	52.38	6.35		1983854	1	0	0	89
3300062473_28	3300062473_28	Salt marsh sediment microbial communities from Mullica River estuary, Port Republic, New Jersey, USA - F_SA_45cm_5	3300062473	Eukaryota; Fornicata	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-13	55.56	9.52		2464449	1	0	0	185
3300062126_60	3300062126_60	Soil microbial communities from Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA - CCASE.MG.2018.7	3300062126	Eukaryota; Basidiomycota; Agaricomycetes; Agaricales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-12	51.12	0.74		10482398	3	0	0	889
3300064183_35	3300064183_35	Soil microbial communities from coniferous forest in Wyoming, USA - M_H1_S2_M_High	3300064183	Eukaryota; Ascomycota; Leotiomycetes; Pseudeurotiaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-12	52.26	1.13		9697101	6	0	0	1169
3300064183_40	3300064183_40	Soil microbial communities from coniferous forest in Wyoming, USA - M_H1_S2_M_High	3300064183	Eukaryota; Ascomycota; Leotiomycetes; Pseudeurotiaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-12	87.97	0.75		16246791	31	0	0	981
3300064064_2	3300064064_2	Peat soil microbial communities from Marcell Experimental Forest, Minnesota, USA - QM0212_16O_15_5_3_SIPMG7	3300064064	Eukaryota; Mucoromycota; Mucoromycetes; Mucorales; Phycomycetaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-10	56.52	4.35	17.95	13788317	1	0	3	2154
3300064016_13	3300064016_13	Peat soil microbial communities from Marcell Experimental Forest, Minnesota, USA - QM0288_16O15N-Gl_25_5_3_SIPMG6	3300064016	Eukaryota; Ascomycota; Leotiomycetes; Helotiales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-06	71.8	0.75	21.89	42450113	9	0	0	3499
3300064042_175	3300064042_175	Soil microbial communities from coniferous forest in Wyoming, USA - R_L2_S2_R_Low	3300064042	Eukaryota; Ascomycota; Leotiomycetes; Pseudeurotiaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-06	95.11	0.38	13.54	17862179	40	0	0	720
3300064042_62	3300064042_62	Soil microbial communities from coniferous forest in Wyoming, USA - R_L2_S2_R_Low	3300064042	Eukaryota; Ascomycota; Leotiomycetes; Helotiales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-06	51.13	0	8.66	13329384	11	0	1	1518
3300064045_111	3300064045_111	Soil microbial communities from coniferous forest in Colorado, USA - BV_C2_S2_BV_Control	3300064045	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-06	99.62	0	18.63	43255906	12	1	0	1473
3300064046_93	3300064046_93	Soil microbial communities from coniferous forest in Colorado, USA - CP_C1_S2_CP_Control	3300064046	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-06	67.29	0	8.72	16503324	2	0	0	1793
3300063996_14	3300063996_14	Brackish water microbial communities from Brisbane River estuary near Indooroopilly, QLD, Australia - JGI_BR_12IN02	3300063996	Eukaryota; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-04	70	0.6	9	9049236	4	0	0	1320
3300063998_25	3300063998_25	Seawater microbial communities from Moreton Bay near Shorncliffe, QLD, Australia - JGI_BR_13SH01	3300063998	Eukaryota; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Ostreococcus	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-04	71.2	0.2	26.92	9390813	2	0	0	1311
3300063999_29	3300063999_29	Seawater microbial communities from Moreton Bay near Shorncliffe, QLD, Australia - JGI_BR_13SH03	3300063999	Eukaryota; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Ostreococcus	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-06-04	78.6	0.4	22.47	10170513	2	0	0	1172
